"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"SYS_OBJ_1688","000075c4","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_16C8","00007604","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_16CC","00007608","Function","Global","User Defined","0","0"
"SYS_OBJ_16D0","0000760c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_16E8","00007624","Function","Global","User Defined","0","0"
"SYS_OBJ_1720","0000765c","Instruction Label","Global","Imported","2","0"
"SYS_OBJ_1760","0000769c","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1764","000076a0","Function","Global","User Defined","0","0"
"SYS_OBJ_1768","000076a4","Instruction Label","Global","Imported","1","0"
"SYS_OBJ_1780","000076bc","Function","Global","User Defined","0","0"
